,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
53,BANKNIFTY2161735500CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:13.681098,71.15,NA,5minute
54,BANKNIFTY2161735700CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:14.087725,37.4,NA,5minute
55,BANKNIFTY2161735800CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:14.283944,28.2,NA,5minute
56,BANKNIFTY2161735900CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:14.475275,22.6,NA,5minute
57,BANKNIFTY2161736000CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:14.667305,18.45,NA,5minute
58,BANKNIFTY2161734700PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:15.594369,75.35,NA,5minute
59,BANKNIFTY2161734600PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:15.862205,61.95,NA,5minute
60,BANKNIFTY2161734500PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:16.053559,46.85,NA,5minute
61,BANKNIFTY2161734400PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:16.249472,38.4,NA,5minute
62,BANKNIFTY2161734300PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:16.454914,31.1,NA,5minute
63,BANKNIFTY2161734200PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:16.681987,26.45,NA,5minute
64,BANKNIFTY2161734100PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:16.864972,22.75,NA,5minute
,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
0,NIFTY2161715800CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.389707,57.6,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.588266,35.9,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.790355,21.1,NA,5minute
3,NIFTY2161716050CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:01.392644,4.1,NA,5minute
